dataset,p,component_1,component_2
IWN,2,0.04800521,0.95199479
IWN,2,0.15517588,0.84482412
IWN,2,0.04494232,0.95505768
IWN,2,0.05388666,0.94611334
IWN,2,0.04547201,0.95452799
IWN,2,0.05377067,0.94622933
IWN,2,0.07439706,0.92560294
IWN,2,0.07829180,0.92170820
IWN,2,0.04705483,0.95294517
IWN,2,0.04456307,0.95543693
IWN,2,0.04654549,0.95345451
IWN,2,0.05744678,0.94255322
IWN,2,0.16066505,0.83933495
IWN,2,0.04455392,0.95544608
IWN,2,0.04495586,0.95504414
IWN,2,0.05239880,0.94760120
IWN,2,0.09120824,0.90879176
IWN,2,0.16949286,0.83050714
IWN,2,0.04702718,0.95297282
IWN,2,0.04728741,0.95271259
IWN,2,0.19342110,0.80657890
IWN,2,0.06149837,0.93850163
IWN,2,0.04493212,0.95506788
IWN,2,0.18003934,0.81996066
IWN,2,0.05714714,0.94285286
IWN,2,0.04706572,0.95293428
IWN,2,0.19173495,0.80826505
IWN,2,0.06381857,0.93618143
IWN,2,0.07730434,0.92269566
IWN,2,0.05275567,0.94724433
IWN,2,0.08164595,0.91835405
IWN,2,0.05388598,0.94611402
IWN,2,0.04588670,0.95411330
IWN,2,0.04543710,0.95456290
IWN,2,0.04461126,0.95538874
IWN,2,0.08762588,0.91237412
IWN,2,0.18333907,0.81666093
IWN,2,0.04552010,0.95447990
IWN,2,0.04462104,0.95537896
IWN,2,0.05636748,0.94363252
IWN,2,0.04983699,0.95016301
IWN,2,0.04649592,0.95350408
IWN,2,0.07114245,0.92885755
IWN,2,0.78832517,0.21167483
IWN,2,0.04455384,0.95544616
IWN,2,0.08919986,0.91080014
IWN,2,0.04838644,0.95161356
IWN,2,0.09151055,0.90848945
IWN,2,0.09266696,0.90733304
IWN,2,0.05344255,0.94655745
IWN,2,0.05684689,0.94315311
IWN,2,0.04521606,0.95478394
IWN,2,0.04696285,0.95303715
IWN,2,0.09794779,0.90205221
IWN,2,0.04641304,0.95358696
IWN,2,0.08393299,0.91606701
IWN,2,0.06222426,0.93777574
IWN,2,0.04575453,0.95424547
IWN,2,0.04455380,0.95544620
IWN,2,0.04477948,0.95522052
IWN,2,0.09258398,0.90741602
IWN,2,0.04618373,0.95381627
IWN,2,0.04896934,0.95103066
IWN,2,0.16715021,0.83284979
IWN,2,0.04487462,0.95512538
IWN,2,0.07765402,0.92234598
IWN,2,0.04640750,0.95359250
IWN,2,0.04814948,0.95185052
IWN,2,0.04475201,0.95524799
IWN,2,0.05759102,0.94240898
IWN,2,0.20249587,0.79750413
IWN,2,0.04460540,0.95539460
IWN,2,0.04785326,0.95214674
IWN,2,0.05154397,0.94845603
IWN,2,0.04866874,0.95133126
IWN,2,0.22482626,0.77517374
IWN,2,0.04781552,0.95218448
IWN,2,0.05738345,0.94261655
IWN,2,0.09057054,0.90942946
IWN,2,0.05306124,0.94693876
IWN,2,0.05319552,0.94680448
IWN,2,0.04920364,0.95079636
IWN,2,0.04622395,0.95377605
IWN,2,0.08063857,0.91936143
IWN,2,0.09994336,0.90005664
IWN,2,0.05718671,0.94281329
IWN,2,0.04457421,0.95542579
IWN,2,0.05082245,0.94917755
IWN,2,0.06734133,0.93265867
IWN,2,0.04899870,0.95100130
IWN,2,0.25309338,0.74690662
IWN,2,0.04899021,0.95100979
IWN,2,0.08614352,0.91385648
IWN,2,0.04494741,0.95505259
IWN,2,0.04737009,0.95262991
IWN,2,0.04483172,0.95516828
IWN,2,0.06291139,0.93708861
IWN,2,0.04467890,0.95532110
IWN,2,0.06036662,0.93963338
IWN,2,0.05838457,0.94161543
IWN,2,0.05951784,0.94048216
IWN,2,0.14995131,0.85004869
IWN,2,0.45486366,0.54513634
IWN,2,0.05873558,0.94126442
IWN,2,0.04480131,0.95519869
IWN,2,0.18725936,0.81274064
IWN,2,0.05820424,0.94179576
IWN,2,0.08973913,0.91026087
IWN,2,0.05162910,0.94837090
IWN,2,0.05418896,0.94581104
IWN,2,0.05332384,0.94667616
IWN,2,0.04688654,0.95311346
IWN,2,0.04852965,0.95147035
IWN,2,0.08719158,0.91280842
IWN,2,0.06834807,0.93165193
IWN,2,0.06079243,0.93920757
IWN,2,0.05065643,0.94934357
IWN,2,0.09410260,0.90589740
IWN,2,0.04503477,0.95496523
IWN,2,0.04494224,0.95505776
IWN,2,0.07990204,0.92009796
IWN,2,0.05863265,0.94136735
IWN,2,0.04880927,0.95119073
IWN,2,0.05639274,0.94360726
IWN,2,0.12279236,0.87720764
IWN,2,0.05678352,0.94321648
IWN,2,0.04691645,0.95308355
IWN,2,0.04462540,0.95537460
IWN,2,0.09987953,0.90012047
IWN,2,0.04788183,0.95211817
IWN,2,0.04477012,0.95522988
IWN,2,0.05156963,0.94843037
IWN,2,0.04463872,0.95536128
IWN,2,0.10641847,0.89358153
IWN,2,0.05950149,0.94049851
IWN,2,0.22458102,0.77541898
IWN,2,0.04468224,0.95531776
IWN,2,0.07784164,0.92215836
IWN,2,0.07367219,0.92632781
IWN,2,0.05574796,0.94425204
IWN,2,0.05363604,0.94636396
IWN,2,0.04466603,0.95533397
IWN,2,0.04455453,0.95544547
IWN,2,0.16539371,0.83460629
IWN,2,0.07824747,0.92175253
IWN,2,0.04907212,0.95092788
IWN,2,0.04566147,0.95433853
IWN,2,0.08338163,0.91661837
IWN,2,0.04616021,0.95383979
IWN,2,0.06004418,0.93995582
IWN,2,0.04920284,0.95079716
IWN,2,0.04570638,0.95429362
IWN,2,0.04821354,0.95178646
IWN,2,0.04924471,0.95075529
IWN,2,0.07994277,0.92005723
IWN,2,0.11642480,0.88357520
IWN,2,0.08880810,0.91119190
IWN,2,0.05510290,0.94489710
IWN,2,0.04704300,0.95295700
IWN,2,0.04466410,0.95533590
IWN,2,0.12013140,0.87986860
IWN,2,0.05130924,0.94869076
IWN,2,0.06031774,0.93968226
