dataset,p,component_1,component_2
DIA,2,0.08486484,0.91513516
DIA,2,0.05609798,0.94390202
DIA,2,0.08863491,0.91136509
DIA,2,0.09570706,0.90429294
DIA,2,0.07954904,0.92045096
DIA,2,0.06227129,0.93772871
DIA,2,0.05648670,0.94351330
DIA,2,0.31670615,0.68329385
DIA,2,0.08509666,0.91490334
DIA,2,0.22881390,0.77118610
DIA,2,0.05645552,0.94354448
DIA,2,0.09458071,0.90541929
DIA,2,0.15059966,0.84940034
DIA,2,0.07220626,0.92779374
DIA,2,0.16698243,0.83301757
DIA,2,0.05631179,0.94368821
DIA,2,0.05989443,0.94010557
DIA,2,0.06820628,0.93179372
DIA,2,0.06658194,0.93341806
DIA,2,0.07318397,0.92681603
DIA,2,0.05757209,0.94242791
DIA,2,0.05616069,0.94383931
DIA,2,0.05652361,0.94347639
DIA,2,0.05630818,0.94369182
DIA,2,0.05656746,0.94343254
DIA,2,0.22209639,0.77790361
DIA,2,0.06716502,0.93283498
DIA,2,0.05964007,0.94035993
DIA,2,0.09337121,0.90662879
DIA,2,0.10508963,0.89491037
DIA,2,0.05653047,0.94346953
DIA,2,0.08972034,0.91027966
DIA,2,0.16986839,0.83013161
DIA,2,0.09685045,0.90314955
DIA,2,0.05633927,0.94366073
DIA,2,0.05739582,0.94260418
DIA,2,0.10959800,0.89040200
DIA,2,0.14964931,0.85035069
DIA,2,0.05684522,0.94315478
DIA,2,0.08231012,0.91768988
DIA,2,0.05815938,0.94184062
DIA,2,0.05609992,0.94390008
DIA,2,0.10747766,0.89252234
DIA,2,0.08219040,0.91780960
DIA,2,0.05995217,0.94004783
DIA,2,0.09822744,0.90177256
DIA,2,0.06351188,0.93648812
DIA,2,0.08163457,0.91836543
DIA,2,0.07531233,0.92468767
DIA,2,0.06738312,0.93261688
DIA,2,0.06716710,0.93283290
DIA,2,0.05671767,0.94328233
DIA,2,0.06173408,0.93826592
DIA,2,0.05614708,0.94385292
DIA,2,0.05757557,0.94242443
DIA,2,0.05729906,0.94270094
DIA,2,0.05619045,0.94380955
DIA,2,0.06489225,0.93510775
DIA,2,0.06086332,0.93913668
DIA,2,0.05835433,0.94164567
DIA,2,0.09392527,0.90607473
DIA,2,0.05977034,0.94022966
DIA,2,0.05618005,0.94381995
DIA,2,0.07681092,0.92318908
DIA,2,0.05700202,0.94299798
DIA,2,0.06395564,0.93604436
DIA,2,0.18971306,0.81028694
DIA,2,0.05624826,0.94375174
DIA,2,0.06065936,0.93934064
DIA,2,0.66147177,0.33852823
DIA,2,0.09565378,0.90434622
DIA,2,0.06816907,0.93183093
DIA,2,0.06495090,0.93504910
DIA,2,0.25677160,0.74322840
DIA,2,0.06024871,0.93975129
DIA,2,0.98892855,0.01107145
DIA,2,0.05631326,0.94368674
DIA,2,0.06173544,0.93826456
DIA,2,0.35124503,0.64875497
DIA,2,0.07107018,0.92892982
DIA,2,0.08342321,0.91657679
DIA,2,0.10122829,0.89877171
DIA,2,0.05640624,0.94359376
DIA,2,0.18060076,0.81939924
DIA,2,0.12639213,0.87360787
DIA,2,0.07601033,0.92398967
DIA,2,0.09249381,0.90750619
DIA,2,0.10722258,0.89277742
DIA,2,0.17816093,0.82183907
DIA,2,0.33209841,0.66790159
DIA,2,0.05612547,0.94387453
DIA,2,0.06258628,0.93741372
DIA,2,0.06458353,0.93541647
DIA,2,0.05624351,0.94375649
DIA,2,0.07219821,0.92780179
DIA,2,0.06234955,0.93765045
DIA,2,0.11625281,0.88374719
DIA,2,0.05919870,0.94080130
DIA,2,0.05609907,0.94390093
DIA,2,0.06410460,0.93589540
DIA,2,0.05804224,0.94195776
DIA,2,0.06335572,0.93664428
DIA,2,0.06909734,0.93090266
DIA,2,0.08337455,0.91662545
DIA,2,0.05677685,0.94322315
DIA,2,0.06915550,0.93084450
DIA,2,0.05919535,0.94080465
DIA,2,0.05618186,0.94381814
DIA,2,0.14718230,0.85281770
DIA,2,0.07775041,0.92224959
DIA,2,0.06942043,0.93057957
DIA,2,0.05781859,0.94218141
DIA,2,0.10032401,0.89967599
DIA,2,0.09928670,0.90071330
DIA,2,0.22008006,0.77991994
DIA,2,0.05609987,0.94390013
DIA,2,0.06671660,0.93328340
DIA,2,0.06119096,0.93880904
DIA,2,0.15526507,0.84473493
DIA,2,0.11235840,0.88764160
DIA,2,0.05627829,0.94372171
DIA,2,0.05778439,0.94221561
DIA,2,0.05752168,0.94247832
DIA,2,0.06132186,0.93867814
DIA,2,0.05690154,0.94309846
DIA,2,0.06145622,0.93854378
DIA,2,0.05612952,0.94387048
DIA,2,0.05695943,0.94304057
DIA,2,0.05623977,0.94376023
DIA,2,0.05726605,0.94273395
DIA,2,0.06343629,0.93656371
DIA,2,0.06926598,0.93073402
DIA,2,0.05611581,0.94388419
DIA,2,0.12007233,0.87992767
DIA,2,0.05690067,0.94309933
DIA,2,0.05857677,0.94142323
DIA,2,0.07580366,0.92419634
DIA,2,0.05788096,0.94211904
DIA,2,0.09036759,0.90963241
DIA,2,0.08569966,0.91430034
DIA,2,0.05613835,0.94386165
DIA,2,0.05910413,0.94089587
DIA,2,0.07819467,0.92180533
DIA,2,0.07602085,0.92397915
DIA,2,0.05609848,0.94390152
DIA,2,0.06717073,0.93282927
DIA,2,0.06597809,0.93402191
DIA,2,0.08782896,0.91217104
DIA,2,0.05756275,0.94243725
DIA,2,0.07098994,0.92901006
DIA,2,0.06942017,0.93057983
DIA,2,0.05757159,0.94242841
DIA,2,0.07285610,0.92714390
DIA,2,0.05633696,0.94366304
DIA,2,0.06064925,0.93935075
DIA,2,0.07987996,0.92012004
DIA,2,0.34518734,0.65481266
DIA,2,0.07313102,0.92686898
DIA,2,0.05910130,0.94089870
DIA,2,0.07346521,0.92653479
DIA,2,0.05812203,0.94187797
DIA,2,0.05701263,0.94298737
DIA,2,0.07587463,0.92412537
DIA,2,0.07427677,0.92572323
DIA,2,0.05612944,0.94387056
DIA,2,0.09079797,0.90920203
DIA,2,0.07210278,0.92789722
DIA,2,0.05693524,0.94306476
DIA,2,0.09278639,0.90721361
DIA,2,0.17280874,0.82719126
DIA,2,0.05787529,0.94212471
DIA,2,0.06656534,0.93343466
DIA,2,0.06034325,0.93965675
DIA,2,0.05613038,0.94386962
DIA,2,0.16798475,0.83201525
DIA,2,0.06376892,0.93623108
DIA,2,0.05777630,0.94222370
DIA,2,0.09633750,0.90366250
DIA,2,0.16444741,0.83555259
DIA,2,0.05885192,0.94114808
DIA,2,0.13579668,0.86420332
DIA,2,0.35567621,0.64432379
DIA,2,0.05661808,0.94338192
DIA,2,0.07265789,0.92734211
DIA,2,0.07322115,0.92677885
DIA,2,0.07836461,0.92163539
DIA,2,0.63791241,0.36208759
DIA,2,0.06098782,0.93901218
DIA,2,0.05641090,0.94358910
DIA,2,0.06943832,0.93056168
DIA,2,0.06378151,0.93621849
DIA,2,0.05881636,0.94118364
DIA,2,0.05719701,0.94280299
DIA,2,0.31140576,0.68859424
DIA,2,0.05818983,0.94181017
DIA,2,0.30437067,0.69562933
DIA,2,0.06705437,0.93294563
DIA,2,0.07009845,0.92990155
DIA,2,0.08500317,0.91499683
DIA,2,0.13704977,0.86295023
DIA,2,0.18220213,0.81779787
DIA,2,0.05747027,0.94252973
DIA,2,0.09091256,0.90908744
DIA,2,0.06607980,0.93392020
DIA,2,0.06953209,0.93046791
DIA,2,0.12701943,0.87298057
DIA,2,0.05864309,0.94135691
DIA,2,0.07375359,0.92624641
DIA,2,0.06539548,0.93460452
DIA,2,0.24081142,0.75918858
DIA,2,0.11835019,0.88164981
DIA,2,0.07457597,0.92542403
DIA,2,0.05665720,0.94334280
DIA,2,0.17949017,0.82050983
DIA,2,0.20286044,0.79713956
DIA,2,0.05623946,0.94376054
DIA,2,0.05667180,0.94332820
DIA,2,0.06319119,0.93680881
DIA,2,0.17470027,0.82529973
DIA,2,0.05967479,0.94032521
DIA,2,0.17578646,0.82421354
DIA,2,0.07550751,0.92449249
DIA,2,0.08131837,0.91868163
DIA,2,0.30587251,0.69412749
DIA,2,0.11796329,0.88203671
DIA,2,0.06374847,0.93625153
DIA,2,0.13391500,0.86608500
DIA,2,0.07271389,0.92728611
DIA,2,0.22379156,0.77620844
DIA,2,0.05619606,0.94380394
DIA,2,0.13941214,0.86058786
DIA,2,0.06868015,0.93131985
DIA,2,0.08578675,0.91421325
DIA,2,0.10369474,0.89630526
DIA,2,0.08670832,0.91329168
DIA,2,0.07028427,0.92971573
DIA,2,0.10549463,0.89450537
DIA,2,0.18345387,0.81654613
DIA,2,0.05648341,0.94351659
DIA,2,0.09194307,0.90805693
DIA,2,0.15782193,0.84217807
DIA,2,0.05741423,0.94258577
DIA,2,0.07698477,0.92301523
DIA,2,0.85310988,0.14689012
DIA,2,0.07610751,0.92389249
DIA,2,0.06186070,0.93813930
DIA,2,0.09449743,0.90550257
DIA,2,0.06147947,0.93852053
DIA,2,0.09856450,0.90143550
DIA,2,0.06004293,0.93995707
DIA,2,0.24978558,0.75021442
DIA,2,0.06020060,0.93979940
DIA,2,0.05613850,0.94386150
DIA,2,0.65540991,0.34459009
DIA,2,0.91940777,0.08059223
DIA,2,0.05833063,0.94166937
DIA,2,0.22922498,0.77077502
DIA,2,0.08410327,0.91589673
DIA,2,0.08160258,0.91839742
DIA,2,0.06895038,0.93104962
DIA,2,0.09689307,0.90310693
DIA,2,0.07560550,0.92439450
DIA,2,0.06425769,0.93574231
DIA,2,0.83532000,0.16468000
DIA,2,0.08620212,0.91379788
DIA,2,0.72866152,0.27133848
DIA,2,0.31014452,0.68985548
DIA,2,0.05794131,0.94205869
DIA,2,0.07713817,0.92286183
DIA,2,0.07340065,0.92659935
DIA,2,0.91630583,0.08369417
DIA,2,0.05649452,0.94350548
DIA,2,0.06087950,0.93912050
DIA,2,0.09299023,0.90700977
DIA,2,0.07318129,0.92681871
DIA,2,0.95228970,0.04771030
DIA,2,0.10192618,0.89807382
DIA,2,0.06386833,0.93613167
DIA,2,0.19624816,0.80375184
DIA,2,0.69556897,0.30443103
DIA,2,0.06087044,0.93912956
DIA,2,0.56714079,0.43285921
DIA,2,0.07121753,0.92878247
DIA,2,0.06904039,0.93095961
DIA,2,0.42010602,0.57989398
DIA,2,0.05667979,0.94332021
DIA,2,0.05700570,0.94299430
DIA,2,0.07843885,0.92156115
DIA,2,0.50449495,0.49550505
DIA,2,0.06065454,0.93934546
DIA,2,0.13142980,0.86857020
DIA,2,0.05645920,0.94354080
DIA,2,0.06618181,0.93381819
DIA,2,0.15388242,0.84611758
DIA,2,0.07454745,0.92545255
DIA,2,0.06054155,0.93945845
DIA,2,0.06336698,0.93663302
DIA,2,0.05611198,0.94388802
DIA,2,0.07194361,0.92805639
DIA,2,0.05921811,0.94078189
DIA,2,0.07119773,0.92880227
