dataset,p,component_1,component_2
SPY,4,0.09846154,0.90153846
SPY,4,0.08015973,0.91984027
SPY,4,0.15077311,0.84922689
SPY,4,0.14861109,0.85138891
SPY,4,0.37720306,0.62279694
SPY,4,0.06853822,0.93146178
SPY,4,0.26219400,0.73780600
SPY,4,0.07728117,0.92271883
SPY,4,0.08135027,0.91864973
SPY,4,0.14748841,0.85251159
SPY,4,0.24872866,0.75127134
SPY,4,0.09820730,0.90179270
SPY,4,0.13589270,0.86410730
SPY,4,0.10166045,0.89833955
SPY,4,0.07980409,0.92019591
SPY,4,0.99541637,0.00458363
SPY,4,0.10662656,0.89337344
SPY,4,0.10257295,0.89742705
SPY,4,0.08764391,0.91235609
SPY,4,0.07706938,0.92293062
SPY,4,0.07749688,0.92250312
SPY,4,0.51055356,0.48944644
SPY,4,0.06817614,0.93182386
SPY,4,0.06855269,0.93144731
SPY,4,0.07131471,0.92868529
SPY,4,0.07261561,0.92738439
SPY,4,0.06982716,0.93017284
SPY,4,0.07893266,0.92106734
SPY,4,0.11470938,0.88529062
SPY,4,0.07272332,0.92727668
SPY,4,0.07917862,0.92082138
SPY,4,0.15869476,0.84130524
SPY,4,0.07211304,0.92788696
SPY,4,0.06832275,0.93167725
SPY,4,0.06829703,0.93170297
SPY,4,0.41061104,0.58938896
SPY,4,0.08677513,0.91322487
SPY,4,0.53183863,0.46816137
SPY,4,0.07517276,0.92482724
SPY,4,0.16667487,0.83332513
SPY,4,0.12452776,0.87547224
SPY,4,0.07521098,0.92478902
SPY,4,0.06969849,0.93030151
SPY,4,0.06957874,0.93042126
SPY,4,0.07226579,0.92773421
SPY,4,0.10797143,0.89202857
SPY,4,0.07627259,0.92372741
SPY,4,0.07236532,0.92763468
SPY,4,0.07866795,0.92133205
SPY,4,0.07220396,0.92779604
SPY,4,0.06824566,0.93175434
SPY,4,0.06843007,0.93156993
SPY,4,0.07061128,0.92938872
SPY,4,0.40114942,0.59885058
SPY,4,0.07426364,0.92573636
SPY,4,0.06939753,0.93060247
SPY,4,0.07909416,0.92090584
SPY,4,0.16604848,0.83395152
SPY,4,0.06826883,0.93173117
SPY,4,0.13658218,0.86341782
SPY,4,0.35551142,0.64448858
SPY,4,0.11298115,0.88701885
SPY,4,0.06816633,0.93183367
SPY,4,0.07167896,0.92832104
SPY,4,0.08881810,0.91118190
SPY,4,0.10140311,0.89859689
SPY,4,0.06825417,0.93174583
SPY,4,0.12964881,0.87035119
SPY,4,0.07217351,0.92782649
SPY,4,0.07553779,0.92446221
SPY,4,0.13200558,0.86799442
SPY,4,0.10169462,0.89830538
SPY,4,0.07623502,0.92376498
SPY,4,0.09744804,0.90255196
SPY,4,0.06965692,0.93034308
SPY,4,0.09624690,0.90375310
SPY,4,0.12952106,0.87047894
SPY,4,0.09078934,0.90921066
SPY,4,0.06824454,0.93175546
SPY,4,0.07264277,0.92735723
SPY,4,0.06893936,0.93106064
SPY,4,0.07057310,0.92942690
SPY,4,0.06820332,0.93179668
SPY,4,0.07792833,0.92207167
SPY,4,0.06896865,0.93103135
SPY,4,0.11329573,0.88670427
SPY,4,0.07437219,0.92562781
SPY,4,0.06834237,0.93165763
SPY,4,0.07331676,0.92668324
SPY,4,0.07041571,0.92958429
SPY,4,0.06845178,0.93154822
SPY,4,0.09461749,0.90538251
SPY,4,0.08977303,0.91022697
SPY,4,0.07738434,0.92261566
SPY,4,0.12108980,0.87891020
SPY,4,0.07185325,0.92814675
SPY,4,0.07015419,0.92984581
SPY,4,0.93012338,0.06987662
SPY,4,0.09574369,0.90425631
SPY,4,0.07208875,0.92791125
SPY,4,0.07578390,0.92421610
SPY,4,0.65047003,0.34952997
SPY,4,0.06946302,0.93053698
SPY,4,0.98791811,0.01208189
SPY,4,0.06884705,0.93115295
SPY,4,0.15083212,0.84916788
SPY,4,0.27963645,0.72036355
SPY,4,0.08996686,0.91003314
SPY,4,0.10210353,0.89789647
SPY,4,0.22309706,0.77690294
SPY,4,0.06830458,0.93169542
SPY,4,0.11406431,0.88593569
SPY,4,0.08815922,0.91184078
